------------ Options -------------
basenet: vgg16_reducedfc.pth
batch_size: 32
cuda: True
debug: False
display_id: 1
gamma: 0.1
iterations: 130000
jaccard_threshold: 0.5
lr: 0.0001
momentum: 0.9
no_pretrain: False
num_workers: 2
phase: train
port_id: 8097
resume: None
save_folder: result/renew_ssd512_default/train
schedule: [80000, 100000, 120000]
send_images_to_visdom: False
ssd_dim: 512
start_iter: 0
version: v2
visdom: False
voc_root: /home/hongyang/data/VOCdevkit/
weight_decay: 0.0005
-------------- End ----------------
================ Training Loss (Tue Sep 12 22:55:14 2017) ================
iter 5950 || Loss: 5.5708 || time: 0.5307 sec/iter
iter 6000 || Loss: 5.6338 || time: 0.5309 sec/iter
iter 6050 || Loss: 5.6141 || time: 0.5305 sec/iter
iter 6100 || Loss: 5.9491 || time: 0.5292 sec/iter
iter 6150 || Loss: 5.5678 || time: 0.5334 sec/iter
iter 6200 || Loss: 5.7358 || time: 0.5282 sec/iter
iter 6250 || Loss: 5.3860 || time: 0.5317 sec/iter
iter 6300 || Loss: 5.5139 || time: 0.5317 sec/iter
iter 6350 || Loss: 5.5916 || time: 0.5306 sec/iter
iter 6400 || Loss: 5.9119 || time: 0.5296 sec/iter
iter 6450 || Loss: 6.1977 || time: 0.5311 sec/iter
iter 6500 || Loss: 5.3238 || time: 0.5297 sec/iter
iter 6550 || Loss: 6.1165 || time: 0.5298 sec/iter
iter 6600 || Loss: 5.6602 || time: 0.5301 sec/iter
iter 6650 || Loss: 5.1982 || time: 0.5289 sec/iter
iter 6700 || Loss: 5.1751 || time: 0.5307 sec/iter
iter 6750 || Loss: 5.5448 || time: 0.5315 sec/iter
iter 6800 || Loss: 5.7214 || time: 0.5302 sec/iter
iter 6850 || Loss: 5.4393 || time: 0.5354 sec/iter
iter 6900 || Loss: 5.3816 || time: 0.5321 sec/iter
iter 6950 || Loss: 5.8471 || time: 0.5317 sec/iter
iter 7000 || Loss: 4.8314 || time: 0.5299 sec/iter
iter 7050 || Loss: 5.0356 || time: 0.5287 sec/iter
iter 7100 || Loss: 5.6895 || time: 0.5311 sec/iter
iter 7150 || Loss: 5.7148 || time: 0.5304 sec/iter
iter 7200 || Loss: 6.0863 || time: 0.5299 sec/iter
iter 7250 || Loss: 5.1063 || time: 0.5331 sec/iter
iter 7300 || Loss: 5.7986 || time: 0.5326 sec/iter
iter 7350 || Loss: 5.0339 || time: 0.5301 sec/iter
iter 7400 || Loss: 5.3382 || time: 0.5291 sec/iter
iter 7450 || Loss: 5.4703 || time: 0.5292 sec/iter
iter 7500 || Loss: 5.9453 || time: 0.5316 sec/iter
iter 7550 || Loss: 5.5345 || time: 0.5325 sec/iter
iter 7600 || Loss: 5.6521 || time: 0.5307 sec/iter
iter 7650 || Loss: 5.2594 || time: 0.5320 sec/iter
iter 7700 || Loss: 6.1003 || time: 0.5342 sec/iter
iter 7750 || Loss: 5.6852 || time: 0.5322 sec/iter
iter 7800 || Loss: 5.3217 || time: 0.5312 sec/iter
iter 7850 || Loss: 5.7321 || time: 0.5331 sec/iter
iter 7900 || Loss: 5.6087 || time: 0.5312 sec/iter
iter 7950 || Loss: 5.2948 || time: 0.5313 sec/iter
iter 8000 || Loss: 5.6177 || time: 0.5375 sec/iter
iter 8050 || Loss: 5.3305 || time: 0.5320 sec/iter
iter 8100 || Loss: 5.8404 || time: 0.5316 sec/iter
iter 8150 || Loss: 5.2331 || time: 0.5325 sec/iter
iter 8200 || Loss: 5.5565 || time: 0.5310 sec/iter
